archive,member,task,state,verdict
math500,bare,math500_split#216,included,1
math500,bare,math500_split#217,included,1
math500,bare,math500_split#218,included,1
math500,bare,math500_split#219,included,0
math500,bare,math500_split#220,included,1
math500,bare,math500_split#221,included,1
math500,bare,math500_split#222,included,1
math500,bare,math500_split#223,included,1
math500,bare,math500_split#224,included,1
math500,bare,math500_split#225,included,1
math500,bare,math500_split#226,included,1
math500,bare,math500_split#227,included,1
math500,bare,math500_split#228,included,1
math500,bare,math500_split#229,included,1
math500,bare,math500_split#230,included,1
math500,bare,math500_split#231,included,1
math500,bare,math500_split#232,included,1
math500,bare,math500_split#233,included,1
math500,bare,math500_split#234,included,1
math500,bare,math500_split#235,included,1
math500,bare,math500_split#236,included,1
math500,bare,math500_split#237,included,1
math500,bare,math500_split#238,included,0
math500,bare,math500_split#239,included,1
math500,bare,math500_split#240,included,1
math500,bare,math500_split#241,included,1
math500,bare,math500_split#242,included,0
math500,bare,math500_split#243,included,1
math500,bare,math500_split#244,included,1
math500,bare,math500_split#245,included,1
math500,bare,math500_split#246,included,1
math500,bare,math500_split#247,included,1
math500,bare,math500_split#248,included,1
math500,bare,math500_split#249,included,1
math500,bare,math500_split#250,included,1
math500,bare,math500_split#251,included,1
math500,bare,math500_split#252,included,1
math500,bare,math500_split#253,included,1
math500,bare,math500_split#254,included,1
math500,bare,math500_split#255,included,1
math500,bare,math500_split#256,included,1
math500,bare,math500_split#257,included,1
math500,bare,math500_split#258,included,1
math500,bare,math500_split#259,included,1
math500,bare,math500_split#260,included,1
math500,bare,math500_split#261,included,1
math500,bare,math500_split#262,included,1
math500,bare,math500_split#263,included,1
math500,bare,math500_split#264,included,0
math500,bare,math500_split#265,included,1
math500,bare,math500_split#266,included,1
math500,bare,math500_split#267,included,1
math500,bare,math500_split#268,included,1
math500,bare,math500_split#269,included,1
math500,bare,math500_split#270,included,1
math500,bare,math500_split#271,included,1
math500,bare,math500_split#272,included,1
math500,bare,math500_split#273,included,1
math500,bare,math500_split#274,included,1
math500,bare,math500_split#275,included,1
math500,bare,math500_split#276,included,1
math500,bare,math500_split#277,included,1
math500,bare,math500_split#278,included,1
math500,bare,math500_split#279,included,1
math500,bare,math500_split#280,included,1
math500,bare,math500_split#281,included,1
math500,bare,math500_split#282,included,1
math500,bare,math500_split#283,included,1
math500,bare,math500_split#284,included,0
math500,bare,math500_split#285,included,1
math500,bare,math500_split#286,included,0
math500,bare,math500_split#287,included,1
math500,bare,math500_split#288,included,1
math500,bare,math500_split#289,included,1
math500,bare,math500_split#290,included,1
math500,bare,math500_split#291,included,1
math500,bare,math500_split#292,included,1
math500,bare,math500_split#293,included,1
math500,bare,math500_split#294,included,1
math500,bare,math500_split#295,included,0
math500,bare,math500_split#296,included,1
math500,bare,math500_split#297,included,1
math500,bare,math500_split#298,included,1
math500,bare,math500_split#299,included,1
math500,bare,math500_split#300,included,1
math500,bare,math500_split#301,included,1
math500,bare,math500_split#302,included,1
math500,bare,math500_split#303,included,1
math500,bare,math500_split#304,included,1
math500,bare,math500_split#305,included,0
math500,bare,math500_split#306,included,1
math500,bare,math500_split#307,included,0
math500,bare,math500_split#308,included,0
math500,bare,math500_split#309,included,1
math500,bare,math500_split#310,included,1
math500,bare,math500_split#311,included,1
math500,bare,math500_split#312,included,1
math500,bare,math500_split#313,included,1
math500,bare,math500_split#314,included,1
math500,bare,math500_split#315,included,1
math500,bare,math500_split#316,included,1
math500,bare,math500_split#317,included,1
math500,bare,math500_split#318,included,0
math500,bare,math500_split#319,included,1
math500,bare,math500_split#320,included,1
math500,bare,math500_split#321,included,1
math500,bare,math500_split#322,included,1
math500,bare,math500_split#323,included,1
math500,bare,math500_split#324,included,1
math500,bare,math500_split#325,included,1
math500,bare,math500_split#326,included,0
math500,bare,math500_split#327,included,1
math500,bare,math500_split#328,included,1
math500,bare,math500_split#329,included,1
math500,bare,math500_split#330,included,1
math500,bare,math500_split#331,included,1
math500,bare,math500_split#332,included,1
math500,bare,math500_split#333,included,1
math500,bare,math500_split#334,included,1
math500,bare,math500_split#335,included,1
math500,bare,math500_split#336,included,1
math500,bare,math500_split#337,included,1
math500,bare,math500_split#338,included,1
math500,bare,math500_split#339,included,1
math500,bare,math500_split#340,included,1
math500,bare,math500_split#341,included,1
math500,bare,math500_split#342,included,1
math500,bare,math500_split#343,included,1
math500,bare,math500_split#344,included,1
math500,bare,math500_split#345,included,1
math500,bare,math500_split#346,included,1
math500,bare,math500_split#347,included,1
math500,bare,math500_split#348,included,1
math500,bare,math500_split#349,included,1
math500,bare,math500_split#350,included,1
math500,bare,math500_split#351,included,1
math500,bare,math500_split#352,included,0
math500,bare,math500_split#353,included,1
math500,bare,math500_split#354,included,1
math500,bare,math500_split#355,included,1
math500,bare,math500_split#356,included,0
math500,bare,math500_split#357,included,1
math500,bare,math500_split#358,included,1
math500,bare,math500_split#359,included,1
math500,bare,math500_split#360,included,1
math500,bare,math500_split#361,included,1
math500,bare,math500_split#362,included,1
math500,bare,math500_split#363,included,1
math500,bare,math500_split#364,included,1
math500,bare,math500_split#365,included,1
math500,bare,math500_split#366,included,1
math500,bare,math500_split#367,included,1
math500,bare,math500_split#368,included,1
math500,bare,math500_split#369,included,1
math500,bare,math500_split#370,included,1
math500,bare,math500_split#371,included,1
math500,bare,math500_split#372,included,1
math500,bare,math500_split#373,included,1
math500,bare,math500_split#374,included,1
math500,bare,math500_split#375,included,1
math500,bare,math500_split#376,included,1
math500,bare,math500_split#377,included,1
math500,bare,math500_split#378,included,1
math500,bare,math500_split#379,included,0
math500,bare,math500_split#380,included,0
math500,bare,math500_split#381,included,1
math500,bare,math500_split#382,included,1
math500,bare,math500_split#383,included,0
math500,bare,math500_split#384,included,1
math500,bare,math500_split#385,included,1
math500,bare,math500_split#386,included,1
math500,bare,math500_split#387,included,1
math500,bare,math500_split#388,included,1
math500,bare,math500_split#389,included,1
math500,bare,math500_split#390,included,1
math500,bare,math500_split#391,included,1
math500,bare,math500_split#392,included,1
math500,bare,math500_split#393,included,1
math500,bare,math500_split#394,included,1
math500,bare,math500_split#395,included,1
math500,bare,math500_split#396,included,1
math500,bare,math500_split#397,included,1
math500,bare,math500_split#398,included,1
math500,bare,math500_split#399,included,1
math500,bare,math500_split#400,included,1
math500,bare,math500_split#401,included,1
math500,bare,math500_split#402,included,1
math500,bare,math500_split#403,included,1
math500,bare,math500_split#404,included,1
math500,bare,math500_split#405,included,1
math500,bare,math500_split#406,included,1
math500,bare,math500_split#407,included,1
math500,bare,math500_split#408,included,1
math500,bare,math500_split#409,included,1
math500,bare,math500_split#410,included,1
math500,bare,math500_split#411,included,1
math500,bare,math500_split#412,included,1
math500,bare,math500_split#413,included,1
math500,bare,math500_split#414,included,1
math500,bare,math500_split#415,included,1
math500,bare,math500_split#416,included,1
math500,bare,math500_split#417,included,1
math500,bare,math500_split#418,included,1
math500,bare,math500_split#419,included,1
math500,bare,math500_split#420,included,1
math500,bare,math500_split#421,included,1
math500,bare,math500_split#422,included,0
math500,bare,math500_split#423,included,1
math500,bare,math500_split#424,included,1
math500,bare,math500_split#425,included,1
math500,bare,math500_split#426,included,1
math500,bare,math500_split#427,included,1
math500,bare,math500_split#428,included,1
math500,bare,math500_split#429,included,1
math500,bare,math500_split#430,included,1
math500,bare,math500_split#431,included,1
math500,bare,math500_split#432,included,1
math500,bare,math500_split#433,included,1
math500,bare,math500_split#434,included,1
math500,bare,math500_split#435,included,1
math500,bare,math500_split#436,included,1
math500,bare,math500_split#437,included,1
math500,bare,math500_split#438,included,1
math500,bare,math500_split#439,included,1
math500,bare,math500_split#440,included,1
math500,bare,math500_split#441,included,1
math500,bare,math500_split#442,included,1
math500,bare,math500_split#443,included,1
math500,bare,math500_split#444,included,1
math500,bare,math500_split#445,included,1
math500,bare,math500_split#446,included,1
math500,bare,math500_split#447,included,1
math500,bare,math500_split#448,included,1
math500,bare,math500_split#449,included,1
math500,bare,math500_split#450,included,1
math500,bare,math500_split#451,included,1
math500,bare,math500_split#452,included,1
math500,bare,math500_split#453,included,1
math500,bare,math500_split#454,included,1
math500,bare,math500_split#455,included,1
math500,bare,math500_split#456,included,1
math500,bare,math500_split#457,included,1
math500,bare,math500_split#458,included,1
math500,bare,math500_split#459,included,1
math500,bare,math500_split#460,included,1
math500,bare,math500_split#461,included,1
math500,bare,math500_split#462,included,1
math500,bare,math500_split#463,included,1
math500,bare,math500_split#464,included,1
math500,bare,math500_split#465,included,1
math500,bare,math500_split#466,included,1
math500,bare,math500_split#467,included,0
math500,bare,math500_split#468,included,1
math500,bare,math500_split#469,included,1
math500,bare,math500_split#470,included,1
math500,bare,math500_split#471,included,1
math500,bare,math500_split#472,included,1
math500,bare,math500_split#473,included,0
math500,bare,math500_split#474,included,1
math500,bare,math500_split#475,included,1
math500,bare,math500_split#476,included,1
math500,bare,math500_split#477,included,1
math500,bare,math500_split#478,included,1
math500,bare,math500_split#479,included,1
math500,bare,math500_split#480,included,1
math500,bare,math500_split#481,included,1
math500,bare,math500_split#482,included,1
math500,bare,math500_split#483,included,1
math500,bare,math500_split#484,included,1
math500,bare,math500_split#485,included,1
math500,bare,math500_split#486,included,1
math500,bare,math500_split#487,included,1
math500,bare,math500_split#488,included,0
math500,bare,math500_split#489,included,1
math500,bare,math500_split#490,included,1
math500,bare,math500_split#491,included,1
math500,bare,math500_split#492,included,1
math500,bare,math500_split#493,included,1
math500,bare,math500_split#494,included,1
math500,bare,math500_split#495,included,0
math500,bare,math500_split#496,included,1
math500,bare,math500_split#497,included,1
math500,bare,math500_split#498,included,1
math500,bare,math500_split#499,included,1
math500,gsm_deepseek_s0_g0,math500_split#100,included,1
math500,gsm_deepseek_s0_g0,math500_split#101,included,1
math500,gsm_deepseek_s0_g0,math500_split#102,included,1
math500,gsm_deepseek_s0_g0,math500_split#103,included,0
math500,gsm_deepseek_s0_g0,math500_split#104,included,1
math500,gsm_deepseek_s0_g0,math500_split#105,included,1
math500,gsm_deepseek_s0_g0,math500_split#106,included,0
math500,gsm_deepseek_s0_g0,math500_split#107,included,1
math500,gsm_deepseek_s0_g0,math500_split#108,included,1
math500,gsm_deepseek_s0_g0,math500_split#109,included,1
math500,gsm_deepseek_s0_g0,math500_split#110,included,1
math500,gsm_deepseek_s0_g0,math500_split#111,included,1
math500,gsm_deepseek_s0_g0,math500_split#112,included,1
math500,gsm_deepseek_s0_g0,math500_split#113,included,1
math500,gsm_deepseek_s0_g0,math500_split#114,included,1
math500,gsm_deepseek_s0_g0,math500_split#115,included,1
math500,gsm_deepseek_s0_g0,math500_split#116,included,1
math500,gsm_deepseek_s0_g0,math500_split#117,included,1
math500,gsm_deepseek_s0_g0,math500_split#118,included,1
math500,gsm_deepseek_s0_g0,math500_split#119,included,1
math500,gsm_deepseek_s0_g0,math500_split#120,included,0
math500,gsm_deepseek_s0_g0,math500_split#121,included,1
math500,gsm_deepseek_s0_g0,math500_split#122,included,1
math500,gsm_deepseek_s0_g0,math500_split#123,included,1
math500,gsm_deepseek_s0_g0,math500_split#124,included,0
math500,gsm_deepseek_s0_g0,math500_split#125,included,1
math500,gsm_deepseek_s0_g0,math500_split#126,included,0
math500,gsm_deepseek_s0_g0,math500_split#127,included,1
math500,gsm_deepseek_s0_g0,math500_split#128,included,1
math500,gsm_deepseek_s0_g0,math500_split#129,included,0
math500,gsm_deepseek_s0_g0,math500_split#130,included,1
math500,gsm_deepseek_s0_g0,math500_split#131,included,1
math500,gsm_deepseek_s0_g0,math500_split#132,included,1
math500,gsm_deepseek_s0_g0,math500_split#133,included,1
math500,gsm_deepseek_s0_g0,math500_split#134,included,1
math500,gsm_deepseek_s0_g0,math500_split#135,included,1
math500,gsm_deepseek_s0_g0,math500_split#136,included,1
math500,gsm_deepseek_s0_g0,math500_split#137,included,0
math500,gsm_deepseek_s0_g0,math500_split#138,included,0
math500,gsm_deepseek_s0_g0,math500_split#139,included,1
math500,gsm_deepseek_s0_g0,math500_split#140,included,1
math500,gsm_deepseek_s0_g0,math500_split#141,included,1
math500,gsm_deepseek_s0_g0,math500_split#142,included,1
math500,gsm_deepseek_s0_g0,math500_split#143,included,1
math500,gsm_deepseek_s0_g0,math500_split#144,included,0
math500,gsm_deepseek_s0_g0,math500_split#145,included,1
math500,gsm_deepseek_s0_g0,math500_split#146,included,0
math500,gsm_deepseek_s0_g0,math500_split#147,included,1
math500,gsm_deepseek_s0_g0,math500_split#148,included,1
math500,gsm_deepseek_s0_g0,math500_split#149,included,1
math500,gsm_deepseek_s0_g0,math500_split#150,included,1
math500,gsm_deepseek_s0_g0,math500_split#151,included,1
math500,gsm_deepseek_s0_g0,math500_split#152,included,1
math500,gsm_deepseek_s0_g0,math500_split#153,included,0
math500,gsm_deepseek_s0_g0,math500_split#154,included,0
math500,gsm_deepseek_s0_g0,math500_split#155,included,0
math500,gsm_deepseek_s0_g0,math500_split#156,included,1
math500,gsm_deepseek_s0_g0,math500_split#157,included,1
math500,gsm_deepseek_s0_g0,math500_split#158,included,1
math500,gsm_deepseek_s0_g0,math500_split#159,included,1
math500,gsm_deepseek_s0_g0,math500_split#160,included,1
math500,gsm_deepseek_s0_g0,math500_split#161,included,1
math500,gsm_deepseek_s0_g0,math500_split#162,included,0
math500,gsm_deepseek_s0_g0,math500_split#163,included,1
math500,gsm_deepseek_s0_g0,math500_split#164,included,1
math500,gsm_deepseek_s0_g0,math500_split#165,included,0
math500,gsm_deepseek_s0_g0,math500_split#166,included,0
math500,gsm_deepseek_s0_g0,math500_split#167,included,1
math500,gsm_deepseek_s0_g0,math500_split#168,included,1
math500,gsm_deepseek_s0_g0,math500_split#169,included,1
math500,gsm_deepseek_s0_g0,math500_split#170,included,1
math500,gsm_deepseek_s0_g0,math500_split#171,included,0
math500,gsm_deepseek_s0_g0,math500_split#172,included,1
math500,gsm_deepseek_s0_g0,math500_split#173,included,1
math500,gsm_deepseek_s0_g0,math500_split#174,included,1
math500,gsm_deepseek_s0_g0,math500_split#175,included,1
math500,gsm_deepseek_s0_g0,math500_split#176,included,1
math500,gsm_deepseek_s0_g0,math500_split#177,included,1
math500,gsm_deepseek_s0_g0,math500_split#178,included,1
math500,gsm_deepseek_s0_g0,math500_split#179,included,0
math500,gsm_deepseek_s0_g0,math500_split#180,included,1
math500,gsm_deepseek_s0_g0,math500_split#181,included,1
math500,gsm_deepseek_s0_g0,math500_split#182,included,1
math500,gsm_deepseek_s0_g0,math500_split#183,included,1
math500,gsm_deepseek_s0_g0,math500_split#184,included,0
math500,gsm_deepseek_s0_g0,math500_split#185,included,1
math500,gsm_deepseek_s0_g0,math500_split#186,included,1
math500,gsm_deepseek_s0_g0,math500_split#187,included,1
math500,gsm_deepseek_s0_g0,math500_split#188,included,1
math500,gsm_deepseek_s0_g0,math500_split#189,included,1
math500,gsm_deepseek_s0_g0,math500_split#190,included,0
math500,gsm_deepseek_s0_g0,math500_split#191,included,1
math500,gsm_deepseek_s0_g0,math500_split#192,included,1
math500,gsm_deepseek_s0_g0,math500_split#193,included,1
math500,gsm_deepseek_s0_g0,math500_split#194,included,1
math500,gsm_deepseek_s0_g0,math500_split#195,included,1
math500,gsm_deepseek_s0_g0,math500_split#196,included,1
math500,gsm_deepseek_s0_g0,math500_split#197,included,1
math500,gsm_deepseek_s0_g0,math500_split#198,included,1
math500,gsm_deepseek_s0_g0,math500_split#199,included,1
math500,gsm_deepseek_s0_g0,math500_split#200,included,1
math500,gsm_deepseek_s0_g0,math500_split#201,included,1
math500,gsm_deepseek_s0_g0,math500_split#202,included,0
math500,gsm_deepseek_s0_g0,math500_split#203,included,1
math500,gsm_deepseek_s0_g0,math500_split#204,included,1
math500,gsm_deepseek_s0_g0,math500_split#205,included,1
math500,gsm_deepseek_s0_g0,math500_split#206,included,0
math500,gsm_deepseek_s0_g0,math500_split#207,included,1
math500,gsm_deepseek_s0_g0,math500_split#208,included,1
math500,gsm_deepseek_s0_g0,math500_split#209,included,1
math500,gsm_deepseek_s0_g0,math500_split#210,included,1
math500,gsm_deepseek_s0_g0,math500_split#211,included,1
math500,gsm_deepseek_s0_g0,math500_split#212,included,1
math500,gsm_deepseek_s0_g0,math500_split#213,included,1
math500,gsm_deepseek_s0_g0,math500_split#214,included,1
math500,gsm_deepseek_s0_g0,math500_split#215,included,1
math500,gsm_deepseek_s0_g0,math500_split#216,included,1
math500,gsm_deepseek_s0_g0,math500_split#217,included,1
math500,gsm_deepseek_s0_g0,math500_split#218,included,1
math500,gsm_deepseek_s0_g0,math500_split#219,included,0
math500,gsm_deepseek_s0_g0,math500_split#220,included,0
math500,gsm_deepseek_s0_g0,math500_split#221,included,1
math500,gsm_deepseek_s0_g0,math500_split#222,included,1
math500,gsm_deepseek_s0_g0,math500_split#223,included,1
math500,gsm_deepseek_s0_g0,math500_split#224,included,1
math500,gsm_deepseek_s0_g0,math500_split#225,included,1
math500,gsm_deepseek_s0_g0,math500_split#226,included,1
math500,gsm_deepseek_s0_g0,math500_split#227,included,0
math500,gsm_deepseek_s0_g0,math500_split#228,included,1
math500,gsm_deepseek_s0_g0,math500_split#229,included,1
math500,gsm_deepseek_s0_g0,math500_split#230,included,0
math500,gsm_deepseek_s0_g0,math500_split#231,included,1
math500,gsm_deepseek_s0_g0,math500_split#232,included,1
math500,gsm_deepseek_s0_g0,math500_split#233,included,1
math500,gsm_deepseek_s0_g0,math500_split#234,included,1
math500,gsm_deepseek_s0_g0,math500_split#235,included,1
math500,gsm_deepseek_s0_g0,math500_split#236,included,1
math500,gsm_deepseek_s0_g0,math500_split#237,included,1
math500,gsm_deepseek_s0_g0,math500_split#238,included,1
math500,gsm_deepseek_s0_g0,math500_split#239,included,1
math500,gsm_deepseek_s0_g0,math500_split#240,included,1
math500,gsm_deepseek_s0_g0,math500_split#241,included,1
math500,gsm_deepseek_s0_g0,math500_split#242,included,0
math500,gsm_deepseek_s0_g0,math500_split#243,included,1
math500,gsm_deepseek_s0_g0,math500_split#244,included,1
math500,gsm_deepseek_s0_g0,math500_split#245,included,1
math500,gsm_deepseek_s0_g0,math500_split#246,included,1
math500,gsm_deepseek_s0_g0,math500_split#247,included,1
math500,gsm_deepseek_s0_g0,math500_split#248,included,0
math500,gsm_deepseek_s0_g0,math500_split#249,included,1
math500,gsm_deepseek_s0_g0,math500_split#250,included,1
math500,gsm_deepseek_s0_g0,math500_split#251,included,1
math500,gsm_deepseek_s0_g0,math500_split#252,included,1
math500,gsm_deepseek_s0_g0,math500_split#253,included,0
math500,gsm_deepseek_s0_g0,math500_split#254,included,1
math500,gsm_deepseek_s0_g0,math500_split#255,included,0
math500,gsm_deepseek_s0_g0,math500_split#256,included,1
math500,gsm_deepseek_s0_g0,math500_split#257,included,1
math500,gsm_deepseek_s0_g0,math500_split#258,included,1
math500,gsm_deepseek_s0_g0,math500_split#259,included,1
math500,gsm_deepseek_s0_g0,math500_split#260,included,1
math500,gsm_deepseek_s0_g0,math500_split#261,included,1
math500,gsm_deepseek_s0_g0,math500_split#262,included,1
math500,gsm_deepseek_s0_g0,math500_split#263,included,1
math500,gsm_deepseek_s0_g0,math500_split#264,included,1
math500,gsm_deepseek_s0_g0,math500_split#265,included,1
math500,gsm_deepseek_s0_g0,math500_split#266,included,0
math500,gsm_deepseek_s0_g0,math500_split#267,included,1
math500,gsm_deepseek_s0_g0,math500_split#268,included,1
math500,gsm_deepseek_s0_g0,math500_split#269,included,1
math500,gsm_deepseek_s0_g0,math500_split#270,included,1
math500,gsm_deepseek_s0_g0,math500_split#271,included,1
math500,gsm_deepseek_s0_g0,math500_split#272,included,1
math500,gsm_deepseek_s0_g0,math500_split#273,included,1
math500,gsm_deepseek_s0_g0,math500_split#274,included,1
math500,gsm_deepseek_s0_g0,math500_split#275,included,1
math500,gsm_deepseek_s0_g0,math500_split#276,included,1
math500,gsm_deepseek_s0_g0,math500_split#277,included,0
math500,gsm_deepseek_s0_g0,math500_split#278,included,1
math500,gsm_deepseek_s0_g0,math500_split#279,included,0
math500,gsm_deepseek_s0_g0,math500_split#280,included,1
math500,gsm_deepseek_s0_g0,math500_split#281,included,1
math500,gsm_deepseek_s0_g0,math500_split#282,included,1
math500,gsm_deepseek_s0_g0,math500_split#283,included,1
math500,gsm_deepseek_s0_g0,math500_split#284,included,0
math500,gsm_deepseek_s0_g0,math500_split#285,included,1
math500,gsm_deepseek_s0_g0,math500_split#286,included,1
math500,gsm_deepseek_s0_g0,math500_split#287,included,1
math500,gsm_deepseek_s0_g0,math500_split#288,included,1
math500,gsm_deepseek_s0_g0,math500_split#289,included,1
math500,gsm_deepseek_s0_g0,math500_split#290,included,1
math500,gsm_deepseek_s0_g0,math500_split#291,included,1
math500,gsm_deepseek_s0_g0,math500_split#292,included,1
math500,gsm_deepseek_s0_g0,math500_split#293,included,1
math500,gsm_deepseek_s0_g0,math500_split#294,included,1
math500,gsm_deepseek_s0_g0,math500_split#295,included,1
math500,gsm_deepseek_s0_g0,math500_split#296,included,0
math500,gsm_deepseek_s0_g0,math500_split#297,included,1
math500,gsm_deepseek_s0_g0,math500_split#298,included,1
math500,gsm_deepseek_s0_g0,math500_split#299,included,1
math500,gsm_deepseek_s0_g0,math500_split#300,included,1
math500,gsm_deepseek_s0_g0,math500_split#301,included,1
math500,gsm_deepseek_s0_g0,math500_split#302,included,1
math500,gsm_deepseek_s0_g0,math500_split#303,included,1
math500,gsm_deepseek_s0_g0,math500_split#304,included,1
math500,gsm_deepseek_s0_g0,math500_split#305,included,0
math500,gsm_deepseek_s0_g0,math500_split#306,included,1
math500,gsm_deepseek_s0_g0,math500_split#307,included,1
math500,gsm_deepseek_s0_g0,math500_split#308,included,1
math500,gsm_deepseek_s0_g0,math500_split#309,included,1
math500,gsm_deepseek_s0_g0,math500_split#310,included,1
math500,gsm_deepseek_s0_g0,math500_split#311,included,1
math500,gsm_deepseek_s0_g0,math500_split#312,included,1
math500,gsm_deepseek_s0_g0,math500_split#313,included,0
math500,gsm_deepseek_s0_g0,math500_split#314,included,1
math500,gsm_deepseek_s0_g0,math500_split#315,included,1
math500,gsm_deepseek_s0_g0,math500_split#316,included,1
math500,gsm_deepseek_s0_g0,math500_split#317,included,1
math500,gsm_deepseek_s0_g0,math500_split#318,included,0
math500,gsm_deepseek_s0_g0,math500_split#319,included,1
math500,gsm_deepseek_s0_g0,math500_split#320,included,0
math500,gsm_deepseek_s0_g0,math500_split#321,included,1
math500,gsm_deepseek_s0_g0,math500_split#322,included,1
math500,gsm_deepseek_s0_g0,math500_split#323,included,0
math500,gsm_deepseek_s0_g0,math500_split#324,included,1
math500,gsm_deepseek_s0_g0,math500_split#325,included,1
math500,gsm_deepseek_s0_g0,math500_split#326,included,1
math500,gsm_deepseek_s0_g0,math500_split#327,included,1
math500,gsm_deepseek_s0_g0,math500_split#328,included,1
math500,gsm_deepseek_s0_g0,math500_split#329,included,1
math500,gsm_deepseek_s0_g0,math500_split#330,included,1
math500,gsm_deepseek_s0_g0,math500_split#331,included,1
math500,gsm_deepseek_s0_g0,math500_split#332,included,1
math500,gsm_deepseek_s0_g0,math500_split#333,included,1
math500,gsm_deepseek_s0_g0,math500_split#334,included,1
math500,gsm_deepseek_s0_g0,math500_split#335,included,1
math500,gsm_deepseek_s0_g0,math500_split#336,included,1
math500,gsm_deepseek_s0_g0,math500_split#337,included,1
math500,gsm_deepseek_s0_g0,math500_split#338,included,0
math500,gsm_deepseek_s0_g0,math500_split#339,included,0
math500,gsm_deepseek_s0_g0,math500_split#340,included,1
math500,gsm_deepseek_s0_g0,math500_split#341,included,1
math500,gsm_deepseek_s0_g0,math500_split#342,included,1
math500,gsm_deepseek_s0_g0,math500_split#343,included,1
math500,gsm_deepseek_s0_g0,math500_split#344,included,1
math500,gsm_deepseek_s0_g0,math500_split#345,included,1
math500,gsm_deepseek_s0_g0,math500_split#346,included,1
